0: 1195,598,930,895
1: 378,1197,930,715,934
2: 348,784,630,715,934,380,3
3: 1096,798,2,630,380,1097
4: 723,1096,798,15,350,1146
5: 630,15
6: 844
7: 501,371,922,373
8: 801,860,443,911,20
9: 377,805,10,924
10: 810,24,9,377
11: 761,817,12,899,25,831
12: 934,380,817,11,13,831
13: 380,12,1097,831,26,422
14: 846,836,823,493,1211,43
15: 1147,5,806,773,723,4,1146
16: 574,1147,812,430,496,847
17: 352,812,371,793,847,7
18: 923,373,443,911,618,856,19
19: 32,1072,18,923,856,1204,1200
20: 693,860,1094,443,336
21: 887,35,458,980
22: 36,1117,374,461,560
23: 992,929,465,698,1119,892
24: 810,895,929,478
25: 899,831,825,39,627
26: 13,831,825,422,404,674
27: 42,41,674,1081,634,1080
28: 1210,387,1123,931,60
29: 910,493,43,1122,427,816
30: 879,910,863,427,1021,45
31: 1073,890,618,923,434,1072
32: 19,1072,1204,46,47,537
33: 956,693,1200,548,602
34: 1094,336,445
35: 968
36: 22,980,861,987,983
37: 983,995,560,38,362,1221,611
38: 1119,560,892,37,362,359
39: 998,698,899,25,1007,627
40: 359,872,1007,998,1051,624
41: 627,825,674,634,363,27
42: 27,634,1080,1010,1052,1008
43: 14,493,1123,1211,29,1122
44: 1215,562,816,1015,1217,1053,61
45: 1055,1054,30,434,863,1021
46: 1073,32,1072,63,537,521,1011
47: 537,32,1204,654,914,524,782
48: 935,917,653,1028
49: 66,447,663,1032,672
50: 1028,447,1034
51: 1039
52: 555,839,411,1071,1042,707
53: 968,467,1109,839,1108,356
54: 356,987,869,1149,651,762
55: 419,1221,1220,611,628,1156
56: 1166,881,624,628,584,75
57: 1051,624,885,58,75,490
58: 885,1010,57,490,809,59
59: 495,1145,58,1010,1052,809
60: 431,931,28,1210,562,507,1053
61: 456,712,1217,44,1215,608
62: 619,1055,1054,63,747,476
63: 1073,1055,46,62,747,1011
64: 747,518,1011,476,82,1056
65: 1026,1057,480,725,769,406
66: 653,444,935,49,663,482
67: 663,482,1036,1032,84,485,85
68: 485,1120,751,1121,665
69: 1045,536,667,70
70: 667,69,536,90,639
71: 91,1152,777,902,1137,569,111
72: 1042,575,707,1151,777,91
73: 93,1157,675,902,504,800
74: 579,419,1156,1157,509
75: 490,624,57,56,1166,792,683
76: 1004,77,516,1139,1100,815
77: 1144,516,1145,573,1100,76
78: 848,507,431,835,697,875
79: 335,848,608,712,688,704
80: 704,746,456,712,100,837
81: 850,101,964,719,100,837,375
82: 64,476,719,1056,850,83
83: 82,1056,850,722,401,102
84: 1036,67,725,85,1214,609
85: 485,1120,67,84,609,1216
86: 1074,870,729,106
87: 751,538,1074,665
88: 667,639,582
89: 109,828,577,499,740,596,878
90: 536,620,670,828,1069,577
91: 71,1152,1151,72,777,670,902
92: 1136,756,504,800,1088,786
93: 73,1157,651,762,419,675
94: 424,584,1166,509,1167
95: 570,1101,1138,114,532,1062
96: 1143,815,1004,97,116,572
97: 540,1004,98,96,116,1079
98: 1134,1130,437,540,97,1079
99: 827,559,335,704,746,1118
100: 456,964,80,746,81,837
101: 850,81,375,1124,102
