0: 598,930,1195,895
1: 1197,715,378,934
2: 1257,1259,1096,380,3
3: 798,2,1096,380,13,1097
4: 798,723,1146,549,846
5: 1259,1096,723
6: 844
7: 793,371,17,922,373
8: 860,801,911,18,443
9: 10,924
10: 810,9,377,805
11: 817,761,12,899,25,831
12: 934,817,11,13,26,831
13: 26,934,380,3,12
14: 823,846,350,836,1211,43,493
15: 1147,1146,5,773,723
16: 1147,812,430,496,847
17: 371,352,812,847,7,793
18: 911,443,1234,1235
19: 1200,1234,923,856,1072,32
20: 336,860,8,1094,443
21: 887,458,1117
22: 374,1117,861,980,36
23: 929,992,465,698,892
24: 810,895,377,929,478
25: 899,831,1252,39,825
26: 13,12,831,1253,422
27: 1080,41,674,1081,1266,1268
28: 1123,1210,606,387,931,60
29: 427,816,43,910,493,1122
30: 910,863,427,1021,45
31: 618,923,434,1072,1073
32: 1204,537,1072,1200,19,46
33: 856,693,956,1200,548,602
34: 
35: 21,458
36: 22,560,37,987,983
37: 560,38,36,362,983,611
38: 892,560,1119,37,362,359
39: 1252,698,899,25,1007,998
40: 1007,359,998,872,1247,1051
41: 825,1252,674,627,1266,27
42: 1268,1010,1080,931,1008,1052
43: 14,1211,493,1123,1122,29
44: 1015,816,562,1217,61,1215
45: 1055,30,863,434,1021,1054
46: 1072,1073,32,537,63,1011
47: 602,654,1204,1306,782,524
48: 917,653,1304
49: 672,1032,1305,447,935,663
50: 1028
51: 1039,411
52: 555,411,462,1071,707
53: 1109,467,968,354,356
54: 1149,356,358,651,1302
55: 74,1156,1220,1221,1255,419
56: 1255,881,628,624,1254,584
57: 1051,885,1247,1246,490
58: 809,885,634,1010,490,59
59: 1052,1010,58,809,1145,495
60: 1053,28,1210,931,1008,507
61: 1215,456,44,1217,608,712
62: 63,747,1055,1054,1238,476
63: 747,62,1055,1073,46,1011
64: 476,747,1011,518,719,82,1056
65: 725,406,1026,1057,769,480
66: 1305,444,1304,1307,914,663
67: 482,663,1032,84,485,85
68: 1120,790,485,751,665,1121
69: 70,395,462,536
70: 69,1045,536,667,1277,1237
71: 569,91,777,902,1152,1137
72: 1042,575,1151,91,777
73: 675,902,93,1157,800,504
74: 55,1156,419,1157,579,509
75: 792,683,1246,1254,490,1166
76: 77,516,1100,1139,815,1004
77: 516,76,573,1145,1144,1100
78: 431,507,835,697,848,875
79: 608,848,712,688,335,704
80: 712,456,964,100,746,704
81: 100,1236,850,837,101,375
82: 850,476,64,719,1056,83
83: 102,101,82,850,1056,722,401
84: 1036,482,67,725,609,85
85: 1216,84,67,485,609,1120
86: 729,1074,870
87: 751,343,665,538,426
88: 667,1277,582,639
89: 828,577,499,740,109,878
90: 577,670,1239,1237,1069,828
91: 1151,72,777,670,1152,71
92: 800,504,1088,1136,756,786
93: 1303,651,762,419,675,73,1157
94: 584,1156,1166,509,1167,424
95: 1062,1101,570,1138,114,532
96: 1143,572,815,1004,97,1294
97: 540,1004,98,1079,96,116,1294
98: 1130,1079,540,437,1134,97
99: 746,704,335,1118,559,827
100: 964,80,1236,746,837,81
101: 83,102,850,81,375,1124
102: 83,101,850,401,121,1124,563
103: 681,406,1214,857,585,858
104: 1216,857,561,858,498,409
105: 590,870,412,768,738
106: 953,1074,807,86
107: 127,953,958,642
108: 494,1069,828,1267,596,740
109: 596,740,1153,878,1190,1191
110: 1020,131,1153,878,1044,526
111: 1136,678,569,1137,131,1020
112: 133,1089,1315,344,1317,658
113: 1088,545,579,509,1167,954
114: 1138,954,95,1065,134,532,690
115: 366,1062,1139,815,889,1143
116: 1294,97,1079,1295,659,647
117: 647,1295,1314,666,907,367,1316
118: 1118,1130,559,567,400,1116
119: 830,559,827,1116,975,407
120: 483,785,975,407,978,489
121: 1124,102,563,141,926,1125
122: 1170,1076,1168,563,1125,547
123: 1076,585,988,143,757,144
124: 1240,622,757,1178,886,439
125: 1286,1178,412,1240,145
126: 1005,511,1282,1281
127: 107,1283,533
128: 1251,1276,582,1162
129: 479,765,544,1190,1086,781
130: 1191,1153,526,1231,1298,650
131: 569,499,111,878,110,1020
132: 1044,678,1020,344,151,1128
133: 112,1089,1315,789,684,658,345
134: 532,690,114,1065,684,360,876
135: 366,364,1142,696,662,896
136: 896,500,702,137,706,928,506
137: 706,702,659,1314,136,1316,928
138: 666,400,687,820,367,709
139: 826,140,999,158,732,834,428
140: 826,139,732,1300,1301,159
141: 802,926,121,1090,1125,744
142: 1077,539,1090,143,547,1092
143: 547,1076,123,1077,142,144
144: 845,143,123,757,1077,439
145: 146,1287,1240,1286,125,1242
146: 145,1287,1242,1186,165,1280
147: 1281,641,167,737,865,334,986
148: 1269,1250,635,544,1087,479
149: 170,765,781,735,1189,595
150: 1231,650,613,1229,1188,616
151: 132,1044,1227,152,1128,1229,1129
152: 1128,1317,151,763,1129,565
153: 345,789,154,814,173,898
154: 1288,645,789,360,876,153,898
155: 156,1176,803,403,671,1024
156: 155,928,506,1313,803,811,403
157: 1313,1312,706,928,657,1102,811
158: 999,820,483,785,709,732,139
159: 1148,826,140,1301,629,576,180,1150
160: 1228,629,1258,1256,1225,1140
161: 453,181,1140,615,162,944,971
162: 520,1141,1140,615,161,944,971
163: 182,1023,1131,1132,648,1293
164: 845,439,622,568,523,1033
165: 146,1186,594,1155,1280,578
166: 680,1155,578,463,357,866
167: 474,737,147,1063,986,1067
168: 1083,169,993,188,384
169: 705,1082,874,1083,168,188
170: 149,781,1299,1249,595
171: 1233,625,1245,1248,621,730
172: 173,491,814,564,883,1163
173: 172,153,814,583,898,1163
174: 194,583,883,1163,365,1014
175: 194,1177,1014,589,487,195
176: 1176,803,398,884,1177,905
177: 811,403,552,1024,1135,946,196
178: 552,657,1102,1107,515,1182,1135,566
179: 515,834,1182,962,428,592,794
