0: 810,598,930
1: 378,598,930,715,934,817
2: 348,715,1096,934,380,3
3: 798,2,1096,380,1097
4: 350,1096,5,723,798,15
5: 723,734,806
6: 352,844
7: 501,17,371,922,793,373
8: 801,911,20,443
9: 10,805
10: 24,9
11: 12,831,817,761,899,25
12: 11,831,934,817,380,13
13: 380,12,831,1097,422,26
14: 43,836,846,823,606,493
15: 430,806,4,350,574,846
16: 574,430,812,496,847
17: 812,371,793,847,7
18: 373,443,856,923,618,19
19: 18,856,923,602,1072,32
20: 1094,8,443,336,693
21: 887,1117,35,458,980
22: 1117,461,980,36,983,560
23: 1119,992,377,929,892
24: 10,810,895,377
25: 825,11,831,899,39,627
26: 831,13,422,825,404,674
27: 674,41,1081,634,42,1080
28: 1123,606,541,387,1122,931,60,562
29: 427,43,843,493,910,1122,816
30: 863,45,910,879,427,1021
31: 1073,890,923,618,434,63
32: 654,47,19,602,1072,537
33: 956,336,693,602,548,1095
34: 1094,445,336,956
35: 467,968,21,458
36: 980,22,983,358,987
37: 38,1119,983,560,995,362
38: 37,1119,892,359,362,872
39: 899,698,25,998,1007,627
40: 1051,624,359,998,1007,872
41: 674,27,825,627,363,634
42: 634,27,1080,1008,1010,1052
43: 14,606,493,1123,1122,29
44: 562,1053,816,1015,608,61
45: 30,863,434,1054,1021,1055
46: 537,521,1073,1072,1011,63
47: 654,32,914,537,524,782
48: 1028,917,653
49: 672,935,66,447,663,1032
50: 1028,447
51: 1039,996,411,555
52: 839,1042,411,555,1071,707
53: 1108,354,356,839,1042
54: 651,356,358,987,869,762,55
55: 762,869,611,54,628,419,74
56: 881,624,628,75,584,683
57: 75,490,1051,624,885,58
58: 885,57,490,59,1010,809
59: 1010,1052,58,809,573,495
60: 28,931,562,1053,431,507
61: 712,44,1015,514,608,994,456
62: 1055,1054,747,619,476
63: 1011,747,434,31,1073,1055,46
64: 1011,747,476,518,1056,82
65: 1057,1026,480,725,769,406
66: 935,653,444,914,482,663,49
67: 663,84,485,1032,85
68: 1121,790,485,751,1120,665
69: 395,462,1045,667,70,536
70: 69,536,1069,639
71: 90,499,577,670,91,569
72: 575,1042,707,670,91,777
73: 504,902,575,675,93,777,800
74: 55,628,419,584,579,509,113
75: 57,490,624,56,792,683
76: 815,573,77,1100,516,1004
77: 697,1078,573,495,76,516
78: 431,507,848,835,697,875
79: 704,848,608,712,688,80,335
80: 456,712,79,704,100,99,746
81: 964,100,719,850,375,837,101
82: 1056,83,476,64,719,850
83: 1056,82,850,722,401,102
84: 1036,725,67,609,85
85: 1120,104,84,67,485,609
86: 1074,665,729,106,870,948
87: 426,751,538,343,1074
88: 667
89: 740,828,577,878,596,109
90: 499,577,71,1069,620,670,828
91: 777,72,670,902,71,569
92: 756,786,504,800,1088,111
93: 419,762,675,73,800,579
94: 954,584,683,424,509,113,95,114
95: 1101,424,94,570,114,532,1062
96: 1004,815,115,116,572
97: 116,647,516,540,98,1004,1079
98: 437,1134,1078,540,97,1130,1079
99: 335,1118,704,80,1134,746,827,559
100: 964,81,80,456,746,837
101: 1124,81,850,375,102,121
102: 401,563,850,83,101,1124,121
103: 857,406,609,858,681
104: 1120,85,609,857,561,409
105: 870,590,412,738,1005
106: 1074,426,86,948,958
107: 958,642,127
108: 582,740,635,544,596
109: 110,1086,130,89,878,596,129
110: 109,1086,130,878,131,1044,526
111: 504,902,569,92,756,1020,678
112: 344,756,786,1089,133,658
113: 509,74,1088,579,94,954,545
114: 1065,134,94,954,95,532
115: 570,815,1062,96,889,366,572
116: 97,647,96,1004,572,702,659
117: 367,907,659,666,137,706
118: 559,1116,1118,1130,567,400,687
119: 827,559,1116,975,830,407
120: 489,978,975,407,785,483
121: 1125,141,101,1124,102,563,926
122: 668,401,563,585,1125,547,1076
123: 988,585,1076,143,757,144
124: 125,886,694,412,439,622
125: 124,412,738,145,622,644
126: 1005,768,642,147,737
127: 107,642
128: 88,582
129: 596,109,1086,479,765,781
130: 109,110,1086,526,650,150
131: 1044,1020,499,569,878,110
132: 151,1128,1044,1020,678,526,152
133: 1089,112,684,658,345,789
134: 1065,114,532,684,360,690
135: 662,500,364,366,896,696
136: 702,896,500,137,928,506
137: 706,928,702,659,136,117
138: 709,512,400,687,367,820
139: 834,999,158,732,826,428
140: 629,732,160,652,159,826
141: 1125,121,926,802,744,1090
142: 143,547,744,1090,1092,539
143: 142,547,1076,123,144,539
144: 757,123,143,539,845,1077
145: 622,125,164,644,523,165,146
146: 578,145,644,641,165,865
147: 641,126,768,737,167,334
148: 635,626,544,542,874,1087
149: 781,650,735,170,595,625
150: 130,526,151,650,613,170,616
151: 132,1128,1044,526,152,150,613,1129
152: 763,658,151,132,1128,1129,565
153: 789,154,345,814,173,898
154: 153,789,360,876,645,696,898
155: 671,403,884,176,803,589
156: 157,928,803,506,403,811
157: 156,706,928,907,657,1102,811,552
158: 820,785,709,483,732,139,999
159: 826,629,140,576,428,180
160: 652,743,571,413,629,140,615
161: 971,944,615,520,162,453,181
162: 520,571,838,615,971,161
163: 989,1023,1132,182,183,648
164: 439,845,568,145,622,523,1033
165: 145,523,460,578,146,594
166: 680,578,865,357,866,463
167: 737,147,1063,334,986,1067
168: 384,1083,169,188,993
169: 874,1083,188
170: 616,650,150,149,595,625,171
171: 621,170,616,1061,625,211,730
172: 814,491,173,346,564,883,174
173: 898,153,814,172,491,883,174
174: 172,173,898,583,883,194,365
175: 194,905,589,487,1014,195
176: 884,662,398,583,803,905,589,155
177: 811,403,552,1024,196,946
178: 552,1135,657,1102,1107,592,566
179: 962,794,515,834,592,428
180: 355,159,629,576,181,685
181: 453,629,615,355,180,161
182: 1023,971,944,163,556,183
183: 1110,182,163,556,648,184
184: 648,979,1110,183,202,588
185: 700,989,594,357,648,979,204
186: 1002,986,1067,990
187: 713,464,990
188: 993,169,705,189,726
189: 726,1003,705,341,188,468
190: 595,625,714,621,386,586
191: 1060,531,1127,211,742,1126
192: 891,1126,1060,193,213,607
193: 795,365,192,891,1126,1014,607,749
194: 175,905,583,174,365,1014
195: 1019,175,589,487,764,216
196: 946,177,1024,897,1133,767
197: 1133,1135,946,198,423,566,780
198: 423,566,592,794,197,349,199,219
199: 349,962,794,576,198,673,200,859
200: 673,962,576,199,685,832,353
201: 901,355,453,855,689,1068
202: 535,1111,1110,184,588,223
203: 979,700,588,938,446,224
204: 661,866,594,357,185,700
205: 206,818,1002,463,959,864
206: 818,205,186,1002,990,580
207: 713
208: 977,985
209: 726,1003,721,1000,228,824
210: 505,599,586,1016,230,1091
211: 730,742,1061,531,171,191
212: 213,742,1060,389,231,591
213: 212,1060,192,607,591,339
214: 393,1041,749,385,215,984
215: 385,764,795,487,749,214
216: 758,195,1019,503,764,414,508
217: 236,745,414,508,950,778
218: 783,394,420,780,238,867
219: 238,788,198,423,349,859
220: 353,433,440,637,636,221
221: 220,440,796,637,415,240
222: 1068,796,901,752,1070,748
223: 242,655,535,202,588,418
224: 446,808,588,203,418
225: 913,449,454,933,550
226: 864,822,435,227
227: 226,822,966
228: 247,824,721,209,985
229: 1000,386,824,230,1091,640,1093
230: 1091,229,505,210,1093,546,925
231: 389,212,599,591,510,1031
232: 338,1031,591,339,982,849
233: 517,234,708,393,842,849
234: 517,233,393,984,1017,854,1006
235: 519,1105,253,711,646,272
236: 745,217,414,396,553,1058
237: 525,1040,862,783,394,960
238: 788,219,423,780,218,867
239: 1064,788,859,433,633,636
240: 601,637,221,415,258,241
241: 882,527,415,601,240,260
242: 655,223,418,243,893,759
243: 893,242,597,900,759,736
244: 446,808,425,903,799,263
245: 1098,246,813,281
246: 813,966,457,245,264
247: 228,824,985,942,248,640
248: 247,942,640,945,368
249: 925,955,471,250,947
250: 949,955,391,249,947,267
251: 269,951,703,513,268,638
252: 952,1006,842,517,513,951
253: 593,1017,519,235,957,272
254: 711,646,1059,255,376,612
255: 1059,960,525,254,273,612
256: 273,525,1040,963,379,1106
257: 275,1104,692,1106,932,716
258: 554,1066,637,601,240,967
259: 973,601,967,976,260,276,277
260: 976,601,241,882,259,261
261: 278,882,597,1046,976,260,631
262: 991,903,900,997,263,1048,528
263: 997,903,244,799,262,1050
264: 246,245
265: 724,605
266: 471,724,912,682,677,915
267: 369,686,250,949,947,638
268: 638,686,269,251,750,753
269: 251,951,268,695,753,754
270: 287,957,921,600,372,760,271
271: 623,600,270,287,610,429
272: 600,253,235,711,957,522
273: 256,525,255,379,909,612,442
274: 448,932,779,716,943,937,452
275: 1104,257,381,779,716,718
276: 259,973,383,277,888,727
277: 259,976,276,631,293,727
278: 261,597,736,631,604,279
279: 388,604,278,736,991,1048
280: 853,528,1027,296,1012,741
281: 1098,529,245,390,614,643
282: 283,605,558
283: 282,1113,1114
284: 369,686,370,750,829,701
285: 754,753,417,312,300
286: 300,417,760,287,610,1085,841
287: 270,760,271,286,610
288: 1030,623,289,429,880,361
289: 772,927,288,1030,361,766
290: 873,909,442,448,772,877,937
291: 292,307,779,383,718,888
292: 307,291,779,452,617,306
293: 679,727,277,631,587,660
294: 388,604,587,660,728,295,472
295: 804,472,587,294,908,309
296: 728,1012,853,280,472,581,432
297: 390,1027,614,676,741,821
298: 299,701,829,337,1114,699
299: 298,701,410,699,833,340
300: 286,285,417,312,1084,1085
301: 347,841,543,1085,484,787,314
302: 1037,840,429,880,774,852
303: 361,766,880,1037,868,316
304: 603,873,877,766,305,397
305: 399,877,943,304,397,1049,664
306: 1115,557,292,307,617,402
307: 292,291,405,888,306,402
308: 904,405,679,402,669,477
309: 771,421,908,804,295,656
310: 804,581,656,776,481
311: 916,581,432,310,481
312: 753,285,410,300,340,1084
313: 940,936,543,731,484
314: 787,301,347,774,315,965
315: 965,774,314,969,852,450
316: 397,303,868,1049,455,1029,470
317: 318,733,974,981,851,497
318: 317,733,473,1112,1009,981
319: 1001,1035,497,328
320: 502,739,1009,981,1001,329
321: 477,755,771,421,894,322
322: 321,771,894
323: 787,965,906,939
324: 969,961,450,797,1022
325: 819,488,1025
326: 797,455,961,1029,492
327: 851,720,492,1035,819,649
328: 1035
329: 502,320,1001,1038
332: 1034,672,941,790,751,343
333: 853,676,432
334: 865,147,641,167,986,680
335: 99,1118,688,79,704,437,1134
336: 693,1094,20,34,956,33
337: 1114,298,699
338: 232,1031,391,982,949,703
339: 708,213,607,591,1041,232,849
340: 833,299,410,312,936,1084
341: 705,466,765,735,189,468
342: 975,830,375,1124,926,978
343: 538,332,451,941,751,87
344: 112,756,678,1128,658
345: 133,763,658,153,789,814
346: 531,1127,770,565,172,491,564
347: 301,841,610,840,774,314
348: 2,784,715
349: 199,794,198,673,219,859
350: 4,798,15,549,836,846
351: 734,773
352: 6,17,812,371
353: 220,433,673,200,832,440
354: 356,968,458,861,53
355: 180,453,181,855,685,201
356: 354,358,53,1108,651,54
357: 578,594,166,185,866,204
358: 36,356,987,54
359: 892,38,1007,362,872,40
360: 684,134,690,789,154,876
361: 303,766,288,289,880
362: 611,38,37,359,995,872,881
363: 627,998,41,1051,885,634
364: 690,889,366,876,696,135
365: 193,795,883,174,194,891,1014
366: 115,364,889,572,896,135
367: 907,117,666,400,138,512
368: 724,912,248,640,945,717
369: 686,267,918,947,370,284
370: 1113,918,369,284,829
371: 352,919,17,922,7
372: 417,760,695,921,754,270
