0: 598,810,930
1: 934,598,715,930,378,817
2: 348,630,934,1096,3,380
3: 1096,798,2,380,549,1097
4: 5,723,798,806,15,350
5: 723,734,4,806
6: 844
7: 371,922,17,793,373,501
8: 860,801,911,20,443
9: 10,805
10: 24,9
11: 817,12,761,899,25,831
12: 817,11,934,380,13,831
13: 380,12,1097,831,26,422
14: 823,493,846,836,606,43
15: 806,4,574,350,846,430
16: 496,574,812,430,847
17: 847,793,352,812,371,7
18: 618,923,911,373,443,856
19: 32,1072,923,856,602
20: 443,8,860,1094,336,693
21: 458,887,35,980
22: 980,36,887,374,461,983
23: 992,461,929,560,38,892
24: 10,810,895,805,377
25: 831,11,899,825,39,627
26: 825,13,1097,831,422,404,674
27: 634,42,674,41,1081,1080
28: 775,606,541,43,387,60,562
29: 910,427,493,843,43,562,816
30: 863,879,910,427,45,1021
31: 1073,890,618,923,434,63
32: 19,1072,602,654,537,47
33: 602,336,693,956,548,1095
34: 1094,336,445
35: 458,21,467,968
36: 980,22,983,861,358,987
37: 560,38,983,987,995,362
38: 560,37,23,892,359,362
39: 698,1007,998,899,25,627
40: 1051,1007,998,872,624,57
41: 674,825,627,363,634,27
42: 634,27,1080,1010,1052,1008
43: 606,14,493,28,29,562,816
44: 562,816,1053,1015,608,61
45: 1021,1054,30,863,434,1055
46: 63,1011,1073,1072,537,521
47: 782,524,32,654,537,914
48: 917,653
49: 663,66,935,447,672,1032
50: 1028,447,1034
51: 411,1039,555,996
52: 839,555,411,1071,707,1042
53: 354,839,651,356,1042,575
54: 869,55,358,987,651,356,762
55: 54,869,611,628,762,419,74
56: 881,628,624,75,584,683
57: 624,75,40,1051,885,58,792,490
58: 885,57,59,1010,490,809
59: 1010,1052,58,809,573,495
60: 931,1053,28,387,562
61: 994,44,1015,608,514,79,712,456
62: 476,747,1054,1055,619
63: 46,1011,434,31,1073,1055,747
64: 518,1011,476,747,82,1056
65: 725,406,1026,1057,480,769
66: 49,663,444,935,653,482,914
67: 1032,485,482,663,1036,84,85
