0: 1195,930
1: 378,817,930,1197,715,934
2: 1257,348,630,1096,380
3: 798,1097,2,1096,380
4: 723,798,1146,549,350,846
5: 806,1096,15
6: 844,352
7: 371,922,501,373
8: 20,860,911,18,443
9: 10,924,805
10: 9
11: 761,817,12,831,899,25
12: 831,934,11,13,26
13: 26,934,380,1097,12,422
14: 350,846,823,836,1211,493,43
15: 773,5,723,1146,1147
16: 574,1147,812,847,430,496
17: 812,847,352,371,7,793
18: 1235,911,8,373,443,1234
19: 1234,923,856,1200,1072,32
20: 8,1094,443,336,693
21: 887,35,458,980
22: 1117,374,461,36,560
23: 1119,929,465,698,892
24: 810,895,929,478
25: 899,39,1252,11,831,825
26: 13,12,831,422,404,1253
27: 674,41,1266,1081,42,1268,1080
28: 1210,60,387,606,1123,931
29: 910,427,493,43,1122,816
30: 879,863,910,427,45,1021
31: 618,890,923,434,1073,1072
32: 1072,19,1200,1204,46,537
33: 548,956,693,856,1200,602
34: 1094,336,445
35: 968
36: 980,861,560,987,983
37: 983,995,611,560,38,362
38: 892,1119,560,359,37,362
39: 899,25,1252,698,1007,998,627
40: 872,1247,1007,359,998,1051
41: 1266,627,1252,825,674,27,363
42: 1268,27,634,931,1080,1010,1052,1008
43: 1122,1211,14,493,1123,29
44: 1215,61,562,1015,816,1217,1053
45: 434,863,30,1021,1054,1055
46: 1073,1072,32,63,537,521,1011
47: 654,782,1204,602,537,524
48: 935,653,1028
49: 663,935,66,447,672,1032
50: 1028,447,1034
51: 996,1039,555,411
52: 1071,555,411,839,707,620
53: 968,467,1109,1108,356
54: 358,1149,356,869,651,762
55: 1220,1221,628,419,1156,1255,74
56: 881,628,624,584,1255,1254
57: 1246,1247,1051,885,58,490
58: 1010,634,885,57,59,490,809
59: 1052,1010,58,809,1145,495
60: 28,1210,931,1008,507,431,1053
61: 44,1215,1217,608,456,712
62: 1054,1055,63,476,1238,747
63: 1073,1055,62,46,747,1011
64: 747,476,518,1011,82,1056
65: 480,1026,1057,725,769,406
66: 935,653,444,914,49,663
67: 1032,482,84,485,85
68: 790,485,1120,751,1121,665
69: 395,462,1045,536,667,70
70: 69,536,667,1237
71: 1152,777,91,902,1137,569
72: 777,91,707,1042,575,1151
73: 1157,93,675,902,504,800
74: 579,419,55,1156,1157,509
75: 792,490,1246,1254,1166,683
76: 1004,815,1100,77,516,1139
77: 1144,516,1145,573,1100,76
78: 848,875,507,835,431,697
79: 608,848,712,688,335,704
80: 456,712,964,746,704,100
81: 100,101,1236,837,375
82: 476,64,719,1056,83,850
83: 850,82,1056,722,401,102
84: 609,1036,482,67,725,85,1214
85: 485,1120,67,84,609,1216
86: 870,1074,729,106,948
87: 751,538,1074,665,426
88: 667,582,639
89: 577,828,499,740,109,878
90: 1237,1239,670,828,577
91: 72,777,1151,670,1152,71
92: 504,800,1088,1136,756,786
93: 762,419,651,675,73,1157
94: 509,1167,1156,584,1166,424
95: 570,1062,1101,1138,114,532
96: 1143,1004,815,97,116,572
97: 540,1004,98,96,116,1079
98: 1134,1130,437,540,97,1079
99: 827,559,335,746,704,1118
100: 81,456,80,964,746,1236,837
101: 1236,81,850,375,1124,102
102: 121,101,83,850,401,1124,563
103: 1214,406,681,857,858,585
104: 1216,561,857,498,409
105: 412,590,870,948,1005,738
106: 1074,426,953
107: 953,127
108: 596,740,494,1267,1269
109: 878,89,596,740,1191,1153
110: 131,878,1044,1153,130,526
111: 1137,569,1136,678,131,1020
112: 756,786,1089,344,133,658
113: 954,545,579,509,1167,1088
114: 134,954,1138,95,1065,532
115: 1062,1139,815,889,1143,366
116: 97,96,1079,572,659,647
117: 666,647,659,137,706,907,367
118: 400,1130,1118,559,567,1116
119: 1116,407,827,559,830,975
120: 483,407,975,978,785,489
121: 102,1124,563,926,141,1125
122: 1168,563,1170,547,1125,1076
123: 988,757,585,143,1076,144
124: 622,757,886,1178,439
125: 1178,412,738,145,1240,644
126: 642,1005,511,768,147,737
127: 107,474
128: 1162,1251
129: 765,544,1190,1191,1086,479,781
130: 526,110,1191,1153,1086,650,1231
131: 110,569,499,111,878,1020,1044
132: 1020,1044,678,344,1227,151,1128
133: 684,789,1089,112,658,345
134: 114,1065,532,684,360,690
135: 366,364,1142,696,500,662,896
136: 896,702,500,137,706,506,928
137: 706,702,659,117,136,907,928
138: 400,666,687,367,709,820
139: 826,158,999,732,834,140,428
140: 159,629,732,652,1258,826,139
141: 121,926,1125,1090,802,744
142: 1092,547,1090,143,1077,539
143: 1076,547,123,142,1077,144
144: 439,845,143,757,123,1077
145: 1240,1242,125,644,146
146: 644,145,1242,641,165,1155,865
147: 641,768,126,737,334
148: 1269,544,626,635,1250,1087,479
149: 170,765,781,735,1249,1189,595
150: 613,1229,650,1231,1188,616
151: 1128,152,132,1227,1229,1129
152: 151,1128,658,763,1129,565
153: 345,789,154,814,173,898
154: 789,360,876,153,645,898
155: 403,803,156,1176,671,1024
156: 803,506,928,157,155,403,811
157: 928,706,156,657,403,811,1102
158: 820,999,785,483,732,139
159: 140,629,1258,826,576,1148,180
160: 413,1256,1258,571,629,1225,1228
161: 453,162,1140,181,971,944
162: 615,1140,1141,520,161,971
163: 1023,1132,182,989,183,648
164: 523,439,845,622,568,1033
165: 1186,1242,146,1155,594,578
166: 1155,578,680,463,866,357
167: 1063,474,737,986,1067
168: 1083,169,384,993,188
169: 1083,1082,874,705,168,188
170: 149,781,650,1188,1249,595
171: 1245,625,1233,1248,621,730
172: 814,491,173,564,883,1163
173: 898,583,153,814,172,1163
174: 1163,583,883,194,365,1014
175: 487,195,194,1177,1014,589
176: 884,398,803,905,1177,1176
177: 196,403,811,552,1024,946
178: 552,1102,657,1107,515,566,1182,1135
179: 515,834,1182,962,428,592,794
180: 181,159,629,1228,1148,685,355
181: 180,1228,1140,453,161,355
182: 971,944,163,1023,556,183
183: 184,182,163,556,648,1110
184: 183,979,648,1110,202,1175
185: 1187,1154,979,204,357,700
186: 1158,1002,986,1067,990
187: 464,713,1159
188: 993,169,705,341,168,189
189: 468,705,341,993,188,726,1003
190: 595,1244,1245,386,586,621
191: 211,531,1127,1126,742,1060
192: 193,1212,1126,891,1213,607
193: 1212,192,1213,365,749,795
194: 905,1177,583,174,1014,175
195: 487,175,1019,589,764,216
196: 177,503,1024,946,897,767,1133
197: 946,1135,566,198,780,1133,423
198: 592,1183,566,197,1135,423
