0: 1195,598,930,895
1: 930,715,378,817,934
2: 1257,380,348,630,1096,3
3: 13,2,380,1096,798,1097
4: 723,798,1146,549,350,846
5: 1259,806,1096,15
6: 352,371
7: 17,922,501,793,373
8: 801,860,20,911,18,443
9: 10,805,887,924
10: 810,805,377
11: 761,817,12,831,899,25
12: 831,817,934,13,11,26
13: 3,380,934,1097,12,26
14: 493,350,846,823,836,43,1211
15: 773,5,723,1146,1147
16: 574,1147,430,812,847,496
17: 7,352,371,812,847,793
18: 911,1235,801,8,443,1234
19: 856,1234,923,1072,1200,32
20: 860,8,443,336
21: 887,35,458
22: 1117,374,36,861,980
23: 992,929,478,1119,465,698,892
24: 1195,810,895,377,929
25: 899,11,831,825,1252,39
26: 13,1097,12,831,1253
27: 674,1081,41,1266,1268,1080
28: 1210,387,606,1123,931,60
29: 910,493,43,30,1122,427,816
30: 879,910,29,863,45,427,1021
31: 1073,890,618,923,434,1072
32: 1200,19,1072,46,1204,537
33: 602,856,693,956,1200,548
34: 1094,917
35: 21,458
36: 374,22,560,861,983,37
37: 36,560,38,983,362
38: 560,1119,892,359,37,362
39: 1252,998,698,899,25,1007,627
40: 359,1007,998,872,1051,1247
41: 627,825,1252,674,27,1266
42: 1010,1268,1080,931,1008,1052
43: 1211,14,493,1123,910,29,1122
44: 816,562,1217,1215,1015,61
45: 863,434,30,1021,1054,1055
46: 1073,1072,32,63,537,1011
47: 1204,1306,654,524,782
48: 653,1304,1028
49: 935,1305,447,663,672,1032
50: 1028,447
51: 411
52: 839,411,462,1071,707
53: 467,968,354,1109,1108,356
54: 356,358,1302,1149,651
55: 74,1156,1220,1221,1255,419
56: 584,628,881,624,1255,1254
57: 885,1051,624,1247,1246,490
58: 634,885,1010,490,809,59
59: 1052,495,58,1010,809,1145
60: 1053,507,931,28,1210,1008
61: 1217,44,1215,608,456,712
62: 747,1054,1055,63,1238,476
63: 1055,1073,46,62,747,1011
64: 476,719,747,518,1056,82
65: 1057,1026,480,725,769,406
66: 1305,444,1304,1307,914
67: 482,663,1032,84,1036,485,85
68: 485,751,790,1120,1121
69: 70,1237,1045,395,462,536
70: 69,1237,667,88,1277
71: 777,902,91,1152,1137,569
72: 1042,707,575,1151,91,777
73: 675,93,419,902,1157,800,504
74: 55,1156,419,1157,579,509
75: 1254,1246,490,1166,683,792
76: 77,516,1100,1139,815,1004
77: 516,76,573,1145,1144,1100
78: 431,507,835,697,848,875
79: 608,848,688,704,712,335
80: 100,456,964,704,712,746
81: 375,100,1236,850,837,101
82: 850,64,719,1056,722,83
83: 102,101,82,850,722,401
84: 1036,725,482,67,1214,85,609
85: 1216,609,84,67,485,1120
86: 729,1074,870,106,1005
87: 665,343,426,538
88: 1277,582,639
89: 828,577,499,740,109,878
90: 1069,1239,670,577,828
91: 72,670,1151,777,71,1152
92: 800,1136,504,1088,678,756,786
93: 1303,762,675,419,73,1157
94: 584,1156,1166,509,1167,424
95: 114,1101,1138,570,1062,532
96: 815,1004,97,1143,572,116,1294
97: 540,1004,96,1079,98,116,1294
98: 1079,540,437,1134,97,1130,116
99: 704,335,746,1118,559,827
100: 80,964,1236,837,746,81
101: 83,102,850,81,375,1124
102: 83,101,401,121,1124,563
103: 681,406,1214,857,585,1170,858
104: 1216,857,561,858,498,409
105: 590,870,412,1005
106: 1074,807,86,953,958,948
107: 642,953,127
108: 1069,494,1267
109: 596,740,89,1153,878,1191
110: 1044,131,1020,1153,878,526
111: 131,1020,1137,569,1136,678
112: 133,1089,1315,344,1317,658
113: 579,509,1167,1088,545,954
114: 95,1138,954,1065,134,532,690
115: 1139,1062,815,889,366,1143
116: 1294,647,96,97,1079,98,1295
117: 367,1316,647,1295,1314,666
118: 1118,1130,559,567,400,1116
119: 830,827,559,1116,975,407
120: 785,975,407,978,489,483,732
121: 1124,102,563,1125,926,141
122: 1168,563,1125,1076,1170,547
123: 143,585,1076,988,757,144
124: 1240,622,757,886,1178,439
125: 1178,412,1240,738,1286,145
126: 1005,511,768,644,1281
127: 642,107,1283,533
128: 1251,1276,582
129: 544,1190,479,1086,781,765
130: 1153,1191,526,1231,1298,650
131: 111,1020,569,499,878,110
132: 1128,1020,678,756,1044,344,151
133: 112,1089,1315,789,684,658,345
134: 532,690,114,1065,684,360,876
135: 1142,366,364,702,696,662,896
136: 702,137,896,500,706,506,928
137: 659,1314,572,702,1316,136,706
138: 666,400,367,687,820,709
139: 826,999,732,140,158,834,428
140: 732,158,1300,826,139,1301
141: 1090,121,1125,926,802,744
142: 539,1090,547,143,1092,1077
143: 123,1076,547,142,144,1077
144: 845,1077,123,143,757,439
145: 146,1240,125,738,1286,1242,1287
146: 145,1242,1287,1186,165,1280
147: 1281,641,167,737,334,865,986
148: 1269,635,1250,544,1087,479
149: 735,765,781,170,1189,595,1244
150: 1229,1231,650,613,1188,616
151: 1044,132,1128,1227,152,1229,1129
152: 1317,1128,151,763,1129,565
153: 789,345,154,645,814,173,898
154: 1288,645,789,360,876,153,898
155: 156,1176,803,403,671,1024
156: 155,884,506,1313,928,803,811,403
157: 1313,1312,928,657,811,1102
158: 732,140,820,785,999,139
159: 1148,826,1301,1228,629,576,180
160: 1228,629,1258,1256,1225,1140
161: 453,181,1140,615,162,944,971
162: 1141,1140,615,520,161,944,971,1023
163: 648,1131,1132,1023,182,989,1293
164: 845,439,622,568,523,1033
165: 146,1186,594,1280,1155,578
166: 1155,578,680,463,357,866
167: 737,1063,474,334,986,1067
168: 1083,169,384
169: 1082,874,705,168,188
170: 781,1299,149,1249,1188,595
171: 1233,1248,625,1245,621,730
172: 564,491,814,173,883,1163
173: 345,153,491,814,898,172,1163,583
174: 194,583,883,1163,365,1014
175: 194,1177,1014,589,487,195
176: 1176,803,398,884,1177,905
177: 946,811,403,552,1024,1135,196
178: 1182,1107,515,552,1102,566
179: 515,834,1182,962,428,592,794
180: 1228,629,1148,159,181,355,685
181: 453,161,1228,1140,180,355
182: 1023,944,971,163,556,183,1293
183: 182,556,1293,1111,1110,184
184: 1175,183,1292,1293,202,1110
