0: 930,895,598,1195
1: 930,715,817,378,934
2: 1096,630,380,1257
3: 798,1097,380,1096,2,13
4: 723,798,1146,549,350,846
5: 1259,806,1096,15
6: 844,352
7: 922,501,793,373
8: 20,860,911,18,443
9: 10,924
10: 377,9
11: 761,899,817,12,831,25
12: 934,817,13,831,26
13: 380,934,12,3,1097,26,422
14: 350,846,823,836,1211,493,43
15: 773,1147,5,723,1146
16: 574,812,430,847,496
17: 847,812,352,371,7
18: 1235,1234,911,8,373,443
19: 923,1234,856,1200,1072,32
20: 8,1094,443,336,693
21: 1117,887,35,458,980
22: 374,1117,461,980,36,560
23: 1119,892,929,465,698
24: 810,1195,895,478,929
25: 1252,39,11,899,831,825
26: 422,12,13,831,1253
27: 674,41,1266,1081,1268,1080
28: 606,1123,387,931,1210,60
29: 427,493,910,43,1122,816
30: 910,879,863,427,45,1021
31: 618,890,923,434,1073,1072
32: 1204,19,1200,1072,46,537
33: 956,693,856,1200,602
34: 1094,445
35: 968
36: 22,980,861,560,987
37: 983,995,611,560,38,362
38: 1119,892,560,359,362
39: 1252,25,698,1007,998
40: 1007,359,998,872,1247,1051
41: 1266,627,1252,825,674,27
42: 1268,931,1080,1052,1010,1008
43: 1122,1211,14,493,1123,29
44: 1015,816,562,1217,61,1215
45: 434,863,30,1021,1054,1055
46: 1011,1073,1072,32,63,537,521
47: 654,782,1204,602,537,524
48: 653,917,1028,935
49: 663,935,66,447,672
50: 447,1034
51: 1039,996,555,411
52: 1071,555,411,839,707,620
53: 354,356,467,968,1109,1108
54: 356,358,1149,869,762,651
55: 74,1220,1221,628,419,1156,1255
56: 628,881,624,584,1255,1254
57: 490,1247,1051,885,1246,58
58: 634,885,57,490,59,1010,809
59: 1052,1010,58,809,1145,495
60: 1210,28,931,1008,431,507,1053
61: 1215,44,1217,608,456,712
62: 1054,1055,63,476,1238,747
63: 1073,1055,62,46,1011,747
64: 747,1011,476,518,82,1056
65: 480,769,1026,1057,725,406
66: 935,444,914,49,663
67: 663,482,84,85,485
68: 485,790,1120,751,1121,665
69: 536,395,462,1045,70
70: 1069,1237,1045,69,536,667,1277
71: 777,91,902,1152,1137,569
72: 777,91,707,1042,575,1151
73: 1157,93,675,902,504,800
74: 55,419,1156,1157,579,509
75: 792,1246,490,1254,1166,683
76: 1004,815,1100,77,516,1139
77: 1144,516,1145,573,1100,76
78: 848,875,835,431,507,697
79: 608,848,712,688,335,704
80: 456,712,964,746,704,100
81: 101,1236,100,837,850,375
82: 476,64,719,1056,83,850
83: 850,102,82,1056,722,401
