0: 1195,598,930
1: 378,1197,930,715,934
2: 348,784,715,630,380,3
3: 1096,798,2,630,380,1097
4: 723,1096,798,15,1146,549,350,846
5: 630,15
6: 844,352
7: 501,371,922,793,373
8: 911,860,20,18,443
9: 10,924,805
10: 9,810
11: 761,817,12,899,25,831
12: 934,380,817,11,13,831,26
13: 934,380,12,1097,422,831,26
14: 846,836,1211,823,493,43
15: 1147,1146,5,806,773,723,4
16: 1147,812,430,496,847
17: 812,371,793,847,7
18: 8,911,373,1235,443,1234
19: 1234,923,856,1072,32,1200
20: 860,1094,443,693,336
21: 35,458,980
22: 36,1117,374,461,560
23: 1119,929,465,698,892
24: 810,895,929,478
25: 899,11,831,825,39,627
26: 12,13,422,831,825,404,674
27: 42,41,674,1081,634,1080
28: 1210,60,387,1123,931
29: 910,427,493,43,1122,816
30: 879,910,427,863,45,1021
31: 1073,890,618,923,434,1072
32: 1072,19,1204,1200,46,537
33: 956,548,693,856,1200,602
34: 1094,336,445
35: 968
36: 22,980,861,560,987
37: 983,995,560,38,362,611
38: 892,1119,560,359,37,362
39: 998,698,899,25,1007,627
40: 872,1247,1007,359,998,1051
41: 627,825,674,634,363,27
42: 27,634,1080,1010,1052,1008
43: 1211,14,493,1123,29,1122
44: 1215,61,562,1015,816,1217,1053
45: 434,863,30,1021,1054,1055
46: 1073,1072,32,63,537,521,1011
47: 537,1204,602,654,524,782
48: 917,653,935,1028
49: 663,935,66,447,672,1032
50: 1028,447,1034
51: 555,1039,996
52: 707,555,839,411,1071,620
53: 467,1109,1108,356
54: 356,358,869,1149,651,762
55: 1220,1221,628,419,1156,74
56: 1166,75,881,628,624,584
57: 1246,1051,885,58,75,490
58: 885,1010,57,490,809,59
59: 495,1145,58,1010,1052,809
60: 28,1210,931,507,431,1053
61: 44,1215,1217,608,456,712
62: 1238,476,1054,1055,63,747,619
63: 1073,1055,46,62,747,1011
64: 747,476,518,1011,82,1056
65: 1026,1057,480,725,769,406
66: 914,653,444,935,49,663
67: 1032,482,84,485,85
68: 790,485,1120,751,1121,665
69: 462,1045,536,667,70
70: 69,536,667,1237,639
71: 91,1152,777,902,1137,569
72: 777,707,1042,575,1151,91
73: 1157,93,675,902,504,800
74: 579,419,55,1156,1157,509
75: 56,1166,624,57,1246,490,683
76: 1004,815,1100,77,516,1139
77: 1144,516,1145,573,1100,76
78: 848,507,835,431,697,875
79: 335,848,608,712,688,704
80: 704,746,456,712,964,100
81: 100,101,1236,837,375
82: 476,64,719,1056,83,850
83: 850,82,1056,722,401,102
84: 1036,482,67,725,85,1214,609
85: 485,1120,67,84,609,1216
86: 729,1074,870,106
87: 751,538,1074,665
88: 582,667
89: 577,828,499,740,109,878
90: 1237,1239,670,828,1069,577
91: 71,1152,1151,72,777,670
92: 504,800,1088,1136,756,786
93: 762,419,651,675,73,1157
94: 509,1167,1156,584,1166,424
95: 570,1101,1138,114,532,1062
96: 1143,1004,815,97,116,572
97: 540,1004,98,96,116,1079
98: 1134,1130,437,540,97,1079
99: 827,559,335,704,746,1118
100: 81,456,964,80,746,1236,837
101: 1236,81,850,375,1124,102
102: 563,121,101,83,850,401,1124
103: 1214,406,681,857,858,585
104: 1216,561,857,609,498,409
105: 590,870,412,948,1005,738
106: 1074,426,86,953
