0: 810,598,930
1: 715,598,378,817,934
2: 348,715,630,723,934,3
3: 2,723,380,798,13,549
4: 5,723,798
5: 4,734,806
6: 352,773,844
7: 371,922,17,793,373,501
8: 20,443,801,860,911
9: 10,805
10: 810,24
11: 25,761,817,12,899
12: 817,934,380,25,11,831
13: 831,380,3,549,404,422,26
14: 823,430,846,350,836,606,493
15: 574,430,846,5,4,806,798,350
16: 844,574,430,812,847,496
17: 812,847,371,7,793
18: 911,443,373,618,693,923,856
19: 602,32,856,923,46,537
20: 8,443,860,34,693,336
21: 35,887,980,458
22: 983,887,374,461,980,36
23: 560,37,38,461,992,929,892
24: 805,10,810,377,895
25: 11,12,899,39,627,825
26: 41,13,831,404,825,674
27: 387,41,674,541,634,42,1008
28: 606,775,541,43,387,60,562
29: 910,843,43,493,427,816
30: 879,863,910,427,45,1021
31: 890,618,923,434,63,46
32: 602,856,19,654,537,47
33: 336,693,956,654
34: 860,20,445,336,956
35: 21,467,968,458
36: 987,358,980,22,983,861
37: 560,23,38,983,987,995
38: 560,37,23,892,359,995,362
39: 698,465,899,25,627,1007,998
40: 1007,872,998,1051,624,57
41: 26,627,825,674,363,634,27
42: 1010,634,27,1008,1052
43: 493,606,28,29,562,427,816
44: 608,562,816,1053,61,1015
45: 1021,863,30,434,1055,1054
46: 1011,31,923,19,63,537
47: 914,782,32,654,537,524
48: 917,1028,653
49: 935,66,447,663,1032,672
50: 447,1034
51: 996,1039,555,411,462
52: 555,411,839,1071,707,1042
53: 356,651,354,839,1042,575
54: 869,358,356,651,55,762
55: 628,611,54,869,762,74,419
56: 584,628,881,624,75,74,683
57: 624,75,40,1051,58,792,490,809
58: 885,1051,57,59,1010,490,809
59: 1010,58,1052,809,573,495
60: 541,28,387,562,931,1053
61: 1015,994,608,44,514,79,712,456
62: 476,747,63,1055,1054,619,64
63: 434,1055,31,46,1011,747,62
64: 518,476,747,62,82,1056
65: 480,769,1026,1057,725,406
66: 444,653,935,914,49,663,482
67: 663,84,482,1032,85,485
68: 751,665,790,485,561,729
69: 70,536,395,462,667
70: 69,536,667,639,1069
71: 499,670,91,90,569
72: 670,91,707,1042,575,777
73: 93,800,504,675,777,902
74: 419,55,628,584,56,579
75: 624,57,881,56,792,683
76: 573,77,551,570,516,815,1004
