0: 598,930
1: 598,930,715,378,934,817
2: 715,1096,934,380,3
3: 798,1097,2,1096,380
4: 350,723,15,798,1146
5: 734,723,806
6: 352
7: 371,922,793,501,373
8: 801,860,911,20,443
9: 10
10: 24,810,9,377
11: 831,817,12,761,899,25
12: 934,817,380,11,831,13
13: 12,380,1097,831,422,26
14: 846,823,836,606,43,493
15: 806,1147,723,4,1146
16: 1147,430,812,847,496
17: 812,847,352,371,7,793
18: 443,856,373,923,618,19
19: 856,18,923,602,1072
20: 1094,8,443,693
21: 887,35,1117,980,458
22: 1117,980,461,36,983,560
23: 1119,992,929,892
24: 10,810,895,478,377,929
25: 825,899,11,831,39,627
26: 674,831,13,422,825,404
27: 674,41,1081,1080,634,42
28: 1123,541,387,1122,931,60,562
29: 427,43,910,493,1122,816
30: 45,1021,910,879,863,427
31: 923,618,890,434,1073,63
32: 47,19,602,1072,537
33: 956,693,602,548,1095
34: 336,1094,445
35: 21,467,968,458
36: 22,980,983,358,987
37: 38,1119,983,560,995,362
38: 37,1119,892,359,362,872
39: 899,698,25,1007,998,627
40: 998,359,1007,872,624,1051
41: 627,363,825,674,27,634
42: 634,1010,27,1080,1008,1052
43: 606,493,1123,1122,29
44: 562,1053,816,1015,608,61
45: 30,1021,863,434,1054,1055
46: 1072,537,1073,63,1011,521
47: 32,537,914,654,524,782
48: 1028,917,653
49: 672,1032,66,447,935,663
50: 1028,447
51: 1039,555,996,411
52: 411,1042,839,1071,707
53: 1109,968,354,356,839,1108
54: 358,356,987,869,651,762
55: 762,869,611,628,419,74
56: 881,624,628,75,584,683
57: 1051,624,885,75,490,58
58: 57,885,1010,490,59,809
59: 1052,495,1010,58,809,1145
60: 507,28,931,562,1053,431
61: 712,456,44,1015,514,608,994
62: 1055,1054,747,619,476
63: 1073,31,434,46,1055,1011,747
64: 1056,82,1011,747,476,518
65: 1057,1026,480,725,406,769
66: 653,444,914,482,663,49
67: 663,1032,84,485,85
68: 1121,1120,790,485,751,665
69: 462,536,1045,395,667,70
70: 69,536,1069,639
71: 569,1137,670,91,1152,499
72: 575,777,1042,707,1151,91
73: 504,777,675,93,902,800
74: 509,55,628,419,579,584
75: 490,624,57,56,792,683
76: 573,77,1100,516,1004,815
77: 573,1145,1144,1078,76,516
78: 431,848,507,835,697,875
79: 704,848,608,712,688,335
80: 712,456,704,100,746,99,837
81: 964,100,719,850,375,837,101
82: 64,1056,476,719,850,83
83: 1056,82,850,722,102,401
84: 1036,725,67,609,85
85: 104,84,67,485,609,1120
86: 665,1074,729,106,948,870
87: 426,1074,751,343
88: 667
89: 828,577,740,878,596,109
90: 620,1069,670,828,1152,577
91: 902,1151,777,72,670,1137,71
92: 756,786,504,800,1088,1136
93: 419,579,762,675,73,800
94: 954,1138,509,584,424,113,114
95: 1101,1138,570,1139,114,532,1062
96: 1004,815,1143,115,116,572
97: 116,647,516,540,98,1004,1079
98: 437,1134,540,97,1130,1079
99: 746,827,704,80,335,1118,559
100: 964,81,456,80,746,837
101: 1124,81,850,375,102,121
102: 563,850,83,101,1124,401,121
103: 609,406,104,681,857,858
104: 85,609,103,1120,857,409,561
105: 590,412,870,738,1005
106: 426,1074,86,948,958
107: 958,642,127
108: 740,582,635,544,596
109: 129,89,878,596,1086,1153
110: 130,1153,878,131,526,1044
111: 1136,569,1137,756,1020,678
112: 344,756,786,1089,133,658
113: 579,509,1088,94,954,545
114: 1065,134,94,954,1138,95,532
115: 1139,1062,889,96,815,1143,366
116: 97,647,96,1004,1079,572,659
117: 666,367,647,659,137,706,907
118: 559,1116,1118,1130,567,400
119: 827,830,559,1116,975,407
120: 489,978,975,407,785,483
121: 1125,141,101,1124,563,102,926
122: 668,401,563,585,1125,547,1076
123: 585,1076,988,143,144,757
124: 886,694,412,439,125,622
125: 738,412,124,145,622,644
126: 642,768,1005,147,737
127: 107
128: 88,582
129: 109,596,1086,479,765,781
