Glucose_exchange_input,Glutamine_exchange_input,G6P_input,FBP_input,G3P_input,PEP_input,lac_exchange_input,gln_input,glu_input,solution_output
0.21,0.003,1.68,0.16,0.24,0.24,19.2,0.733333333333333,1.10666666666667,0.060788346723024
0.21,0.003,1.68,0.16,0.24,0.24,19.2,0.733333333333333,1.33333333333333,0.0614251048838503
0.21,0.003,1.68,0.16,0.24,0.24,19.2,0.733333333333333,1.56,0.0620618630446749
0.21,0.003,1.68,0.16,0.24,0.24,19.2,0.906666666666667,0.88,0.0606385212734201
0.21,0.003,1.68,0.16,0.24,0.24,19.2,0.906666666666667,1.10666666666667,0.0612752794342406
0.21,0.003,1.68,0.16,0.24,0.24,19.2,0.906666666666667,1.33333333333333,0.0619120375950804
0.21,0.003,1.68,0.16,0.24,0.24,19.2,0.906666666666667,1.56,0.0625487957558985
0.21,0.003,1.68,0.16,0.24,0.24,19.2,1.08,0.88,0.0611254539846337
0.21,0.003,1.68,0.16,0.24,0.24,19.2,1.08,1.10666666666667,0.0617622121454592
0.21,0.003,1.68,0.16,0.24,0.24,19.2,1.08,1.33333333333333,0.0623989703062887
0.21,0.003,1.68,0.16,0.24,0.24,19.2,1.08,1.56,0.0630357284671098
0.21,0.003,1.68,0.16,0.24,0.24,6.4,0.56,0.88,0.0356925839140842
0.21,0.003,1.68,0.16,0.24,0.44,6.4,0.56,1.10666666666667,0.0366830966087083
0.21,0.003,1.68,0.16,0.24,0.44,6.4,0.56,1.33333333333333,0.0373198547695238
0.21,0.003,1.68,0.16,0.24,0.44,6.4,0.56,1.56,0.0379566129303427
0.21,0.003,1.68,0.16,0.24,0.44,6.4,0.733333333333333,0.88,0.0365332711590983
0.21,0.003,1.68,0.16,0.24,0.44,6.4,0.733333333333333,1.10666666666667,0.0371700293199259
0.21,0.003,1.68,0.16,0.24,0.44,6.4,0.733333333333333,1.33333333333333,0.0378067874807422
0.21,0.003,1.68,0.16,0.24,0.44,6.4,0.733333333333333,1.56,0.0384435456415737
0.21,0.003,1.68,0.16,0.24,0.44,6.4,0.906666666666667,0.88,0.0370202038703203
0.21,0.003,1.68,0.16,0.24,0.44,6.4,0.906666666666667,1.10666666666667,0.0376569620311425
0.21,0.003,1.68,0.16,0.24,0.44,6.4,0.906666666666667,1.33333333333333,0.0382937201919709
0.21,0.003,1.68,0.16,0.24,0.44,6.4,0.906666666666667,1.56,0.0389304783528006
0.21,0.003,1.68,0.16,0.24,0.44,6.4,1.08,0.88,0.0375071365815333
0.21,0.003,1.68,0.16,0.24,0.44,6.4,1.08,1.10666666666667,0.038143894742361
0.21,0.003,1.68,0.16,0.24,0.44,6.4,1.08,1.33333333333333,0.0387806529031843
0.21,0.003,1.68,0.16,0.24,0.44,6.4,1.08,1.56,0.0394174110640148
0.21,0.003,1.68,0.16,0.24,0.44,10.6666666666667,0.56,0.88,0.0440370290935096
0.21,0.003,1.68,0.16,0.24,0.44,10.6666666666667,0.56,1.10666666666667,0.0446737872543356
0.21,0.003,1.68,0.16,0.24,0.44,10.6666666666667,0.56,1.33333333333333,0.0453105454151584
0.21,0.003,1.68,0.16,0.24,0.44,10.6666666666667,0.56,1.56,0.0459473035759839
0.21,0.003,1.68,0.16,0.24,0.44,10.6666666666667,0.733333333333333,0.88,0.0445239618047258
0.21,0.003,1.68,0.16,0.24,0.44,10.6666666666667,0.733333333333333,1.10666666666667,0.0451607199655565
0.21,0.003,1.68,0.16,0.24,0.44,10.6666666666667,0.733333333333333,1.33333333333333,0.0457974781263768
0.21,0.003,1.68,0.16,0.24,0.44,10.6666666666667,0.733333333333333,1.56,0.0464342362871998
0.21,0.003,1.68,0.16,0.24,0.44,10.6666666666667,0.906666666666667,0.88,0.045010894515952
0.21,0.003,1.68,0.16,0.24,0.44,10.6666666666667,0.906666666666667,1.10666666666667,0.04564765267677
0.21,0.003,1.68,0.16,0.24,0.44,10.6666666666667,0.906666666666667,1.33333333333333,0.0462844108375906
0.21,0.003,1.68,0.16,0.24,0.44,10.6666666666667,0.906666666666667,1.56,0.0469211689984201
0.21,0.003,1.68,0.16,0.24,0.44,10.6666666666667,1.08,0.88,0.0454978272271647
0.21,0.003,1.68,0.16,0.24,0.44,10.6666666666667,1.08,1.10666666666667,0.0461345853879946
0.21,0.003,1.68,0.16,0.24,0.44,10.6666666666667,1.08,1.33333333333333,0.0467713435488157
0.21,0.003,1.68,0.16,0.24,0.44,10.6666666666667,1.08,1.56,0.0474081017096432
0.21,0.003,1.68,0.16,0.24,0.44,14.9333333333333,0.56,0.88,0.0520277197391507
0.21,0.003,1.68,0.16,0.24,0.44,14.9333333333333,0.56,1.10666666666667,0.0526644778999642
0.21,0.003,1.68,0.16,0.24,0.44,14.9333333333333,0.56,1.33333333333333,0.0533012360607807
0.21,0.003,1.68,0.16,0.24,0.44,14.9333333333333,0.56,1.56,0.0539379942216215
0.21,0.003,1.68,0.16,0.24,0.44,14.9333333333333,0.733333333333333,0.88,0.0525146524503582
0.21,0.003,1.68,0.16,0.24,0.44,14.9333333333333,0.733333333333333,1.10666666666667,0.0531514106111792
0.21,0.003,1.68,0.16,0.24,0.44,14.9333333333333,0.733333333333333,1.33333333333333,0.0537881687719952
0.21,0.003,1.68,0.16,0.24,0.44,14.9333333333333,0.733333333333333,1.56,0.0544249269328278
0.21,0.003,1.68,0.16,0.24,0.44,14.9333333333333,0.906666666666667,0.88,0.0530015851615872
0.21,0.003,1.68,0.16,0.24,0.44,14.9333333333333,0.906666666666667,1.10666666666667,0.0536383433223868
0.21,0.003,1.68,0.16,0.24,0.44,14.9333333333333,0.906666666666667,1.33333333333333,0.0542751014832309
0.21,0.003,1.68,0.16,0.24,0.44,14.9333333333333,0.906666666666667,1.56,0.0549118596440531
0.21,0.003,1.68,0.16,0.24,0.44,14.9333333333333,1.08,0.88,0.053488517872804
0.21,0.003,1.68,0.16,0.24,0.44,14.9333333333333,1.08,1.10666666666667,0.054125276033634
0.21,0.003,1.68,0.16,0.24,0.44,14.9333333333333,1.08,1.33333333333333,0.0547620341944472
0.21,0.003,1.68,0.16,0.24,0.44,14.9333333333333,1.08,1.56,0.055398792355287
0.21,0.003,1.68,0.16,0.24,0.44,19.2,0.56,0.88,0.0600184103847733
0.21,0.003,1.68,0.16,0.24,0.44,19.2,0.56,1.10666666666667,0.0606551685456008
0.21,0.003,1.68,0.16,0.24,0.44,19.2,0.56,1.33333333333333,0.0612919267064113
0.21,0.003,1.68,0.16,0.24,0.44,19.2,0.56,1.56,0.0619286848672498
0.21,0.003,1.68,0.16,0.24,0.44,19.2,0.733333333333333,0.88,0.0605053430959939
0.21,0.003,1.68,0.16,0.24,0.44,19.2,0.733333333333333,1.10666666666667,0.0611421012568235
0.21,0.003,1.68,0.16,0.24,0.44,19.2,0.733333333333333,1.33333333333333,0.0617788594176268
0.21,0.003,1.68,0.16,0.24,0.44,19.2,0.733333333333333,1.56,0.0624156175784644
0.21,0.003,1.68,0.16,0.24,0.44,19.2,0.906666666666667,0.88,0.0609922758072059
0.21,0.003,1.68,0.16,0.24,0.44,19.2,0.906666666666667,1.10666666666667,0.0616290339680358
0.21,0.003,1.68,0.16,0.24,0.44,19.2,0.906666666666667,1.33333333333333,0.0622657921288616
0.21,0.003,1.68,0.16,0.24,0.44,19.2,0.906666666666667,1.56,0.0629025502896892
0.21,0.003,1.68,0.16,0.24,0.44,19.2,1.08,0.88,0.0614792085184284
0.21,0.003,1.68,0.16,0.24,0.44,19.2,1.08,1.10666666666667,0.0621159666792595
0.21,0.003,1.68,0.16,0.24,0.44,19.2,1.08,1.33333333333333,0.0627527248400856
0.21,0.003,1.68,0.16,0.24,0.44,19.2,1.08,1.56,0.0633894830008949
0.21,0.003,1.68,0.16,0.24,0.44,6.4,0.56,0.88,0.0360463384478811
0.21,0.003,1.68,0.16,0.24,0.64,6.4,0.56,1.10666666666667,0.0370368511424883
0.21,0.003,1.68,0.16,0.24,0.64,6.4,0.56,1.33333333333333,0.0376736093033175
0.21,0.003,1.68,0.16,0.24,0.64,6.4,0.56,1.56,0.0383103674641493
0.21,0.003,1.68,0.16,0.24,0.64,6.4,0.733333333333333,0.88,0.0368870256928827
0.21,0.003,1.68,0.16,0.24,0.64,6.4,0.733333333333333,1.10666666666667,0.0375237838537109
0.21,0.003,1.68,0.16,0.24,0.64,6.4,0.733333333333333,1.33333333333333,0.0381605420145354
0.21,0.003,1.68,0.16,0.24,0.64,6.4,0.733333333333333,1.56,0.038797300175359
0.21,0.003,1.68,0.16,0.24,0.64,6.4,0.906666666666667,0.88,0.0373739584041108
0.21,0.003,1.68,0.16,0.24,0.64,6.4,0.906666666666667,1.10666666666667,0.0380107165649442
0.21,0.003,1.68,0.16,0.24,0.64,6.4,0.906666666666667,1.33333333333333,0.0386474747257574
0.21,0.003,1.68,0.16,0.24,0.64,6.4,0.906666666666667,1.56,0.0392842328865901
0.21,0.003,1.68,0.16,0.24,0.64,6.4,1.08,0.88,0.0378608911153248
0.21,0.003,1.68,0.16,0.24,0.64,6.4,1.08,1.10666666666667,0.0384976492761546
0.21,0.003,1.68,0.16,0.24,0.64,6.4,1.08,1.33333333333333,0.0391344074369833
0.21,0.003,1.68,0.16,0.24,0.64,6.4,1.08,1.56,0.0397711655977953
0.21,0.003,1.68,0.16,0.24,0.64,10.6666666666667,0.56,0.88,0.0443907836273123
0.21,0.003,1.68,0.16,0.24,0.64,10.6666666666667,0.56,1.10666666666667,0.0450275417881277
0.21,0.003,1.68,0.16,0.24,0.64,10.6666666666667,0.56,1.33333333333333,0.0456642999489614
0.21,0.003,1.68,0.16,0.24,0.64,10.6666666666667,0.56,1.56,0.0463010581097726
0.21,0.003,1.68,0.16,0.24,0.64,10.6666666666667,0.733333333333333,0.88,0.044877716338515
0.21,0.003,1.68,0.16,0.24,0.64,10.6666666666667,0.733333333333333,1.10666666666667,0.0455144744993358
0.21,0.003,1.68,0.16,0.24,0.64,10.6666666666667,0.733333333333333,1.33333333333333,0.046151232660167
0.21,0.003,1.68,0.16,0.24,0.64,10.6666666666667,0.733333333333333,1.56,0.0467879908209861
0.21,0.003,1.68,0.16,0.24,0.64,10.6666666666667,0.906666666666667,0.88,0.0453646490497373
0.21,0.003,1.68,0.16,0.24,0.64,10.6666666666667,0.906666666666667,1.10666666666667,0.0460014072105598
0.21,0.003,1.68,0.16,0.24,0.64,10.6666666666667,0.906666666666667,1.33333333333333,0.0466381653713891
0.21,0.003,1.68,0.16,0.24,0.64,10.6666666666667,0.906666666666667,1.56,0.0472749235322077
0.21,0.003,1.68,0.16,0.24,0.64,10.6666666666667,1.08,0.88,0.0458515817609584
0.21,0.003,1.68,0.16,0.24,0.64,10.6666666666667,1.08,1.10666666666667,0.0464883399217774
0.21,0.003,1.68,0.16,0.24,0.64,10.6666666666667,1.08,1.33333333333333,0.0471250980826116
0.21,0.003,1.68,0.16,0.24,0.64,10.6666666666667,1.08,1.56,0.0477618562434194
0.21,0.003,1.68,0.16,0.24,0.64,14.9333333333333,0.56,0.88,0.052381474272949
0.21,0.003,1.68,0.16,0.24,0.64,14.9333333333333,0.56,1.10666666666667,0.0530182324337432
0.21,0.003,1.68,0.16,0.24,0.64,14.9333333333333,0.56,1.33333333333333,0.0536549905945814
0.21,0.003,1.68,0.16,0.24,0.64,14.9333333333333,0.56,1.56,0.0542917487554046
0.21,0.003,1.68,0.16,0.24,0.64,14.9333333333333,0.733333333333333,0.88,0.0528684069841452
0.21,0.003,1.68,0.16,0.24,0.64,14.9333333333333,0.733333333333333,1.10666666666667,0.0535051651449738
0.21,0.003,1.68,0.16,0.24,0.64,14.9333333333333,0.733333333333333,1.33333333333333,0.0541419233058063
0.21,0.003,1.68,0.16,0.24,0.64,14.9333333333333,0.733333333333333,1.56,0.0547786814666302
0.21,0.003,1.68,0.16,0.24,0.64,14.9333333333333,0.906666666666667,0.88,0.0533553396953676
0.21,0.003,1.68,0.16,0.24,0.64,14.9333333333333,0.906666666666667,1.10666666666667,0.0539920978561965
