0: 3723
349: 3899,2028
350: 
351: 3990
352: 4966,1855
353: 1887,3949
354: 2916,4439
355: 5622
356: 5901,5896
357: 2831,3523,1185
358: 5506,2926,4982
359: 2929,5625,4331
360: 3552,1918,3524
361: 5630,4221
362: 3903
363: 1220,2936,3033,4358
364: 4365,5156,4063
365: 4397,4068,3135
366: 5639,2077,5128
367: 3533,3735,5603
368: 5660,5004,1239,5392
369: 2965,5802,1243
370: 5404,5647
371: 
372: 5717,3308,5651
373: 3709
374: 
375: 3525,3589
376: 3013,3342
377: 1282,3026,2200
378: 5029,3045
379: 3049,5031,5826
380: 1312,4680
381: 5667,3053
382: 636
383: 5040,5831
384: 3658
385: 3073,1342,5046
386: 
387: 3936
388: 4187,5054
389: 1366,4744
390: 3095,2968,1372
391: 
392: 
393: 3030,5148,5684
394: 3113,4668,1391,5909
395: 4564,5065
396: 3114,5689
397: 3529,3493
398: 
399: 5694,3230,3129
400: 4929,3251,5366,5661
401: 3958,2061
402: 3604
403: 3952,3951
404: 3919
405: 5855,4024,3144
406: 5701
407: 2367,5704,3149
408: 4033
409: 
410: 5707,3154
411: 5708
412: 3627,1938
413: 1540,5711,3159
414: 2119
415: 1545,4939,5240,4050
416: 3488
417: 3198,5716
418: 3745,1969
419: 
420: 2084
421: 2115
422: 1945,3670
423: 2120
424: 3851
425: 5723
426: 2131,2810
427: 2134,4080
428: 5047,3128,2136
429: 5724
430: 1598,5726
431: 4093,1602,5210,2149
432: 4099
433: 4101,5937
434: 3422,4105
435: 3486,3503,1914,3599,1933
436: 5730
437: 5732,2189,4468,3464
438: 4229,4490,3468
439: 1688,4118
440: 5734,1695
441: 2072,4168,4122
442: 2054,3963,3960
443: 2240,5736
444: 1713,4675,4584
445: 3887,3886
446: 2101
447: 1722,2264
448: 3685
449: 2333,5438,1729,4793
450: 1739,2397,5528,4826
451: 2304,4150
452: 5740,5758,3719
453: 2737,5741
454: 2335,1815,2910,4941
455: 3067,2354,4161
456: 3085,5044,5125
457: 4169,5500
458: 4174,2384,3157
459: 3610
460: 5509,5745
461: 5746
462: 5747
463: 
464: 4192,5812,2419
465: 
466: 3979
467: 2107
468: 5938
469: 4204
470: 
471: 5750,5591,3272
472: 4214,2455
473: 
474: 2462,4219
475: 5118,3995
476: 2004,3830
477: 
478: 3871
479: 
480: 5751,5334,2482
481: 4228,1200,2935
482: 2494,2951,4235
483: 1206,2961,2497,4248
484: 4239
485: 4268,1231
486: 1237,2512
487: 
488: 3638
489: 3872
490: 3983
491: 2523,5752
492: 2017,5455,4372,2527
493: 3639,1909,862
494: 5834,4261
495: 4263
496: 3588,1925,1616
497: 
498: 2556,5753
499: 5754,5106,1322
500: 4278
501: 4283
502: 3032,5755
503: 3846
504: 4291
505: 5756,2609
506: 3777
507: 4299,2618
508: 4305
509: 2626,4053,1417
510: 1423,4652
511: 2639,1428
512: 5917,5945,2645,4697
513: 
514: 4748,1440
515: 
516: 3985
517: 1446,4787
518: 
519: 3894
520: 3972
521: 3910,2035
522: 5099
523: 2698,4852,5520,5100
524: 2712,4903,5947
525: 
